Detector;Time;qPKW;vPKW
333_306;60;250;50
333_108A;60;227;50
333_108B;60;228;50
333_106;60;130;50
333_207A;60;320;50
333_207B;60;281;50
334_107;60;260;50
334_107L;60;420;50
334_207L;60;122;50
334_207;60;183;50
336_108L;60;504;50
336_208L;60;503;50
338_108;60;565;50
338_100;60;37;50
338_208;60;584;50
405_110A;60;270;50
405_110B;60;299;50
405_210A;60;557;50
405_210B;60;264;50
405_607;60;309;50
405_707;60;339;50
405_907;60;292;50
405_305;60;68;50
405_503;60;285;50
405_403;60;39;50
405_800;60;10;50
409_207L;60;179;50
409_405;60;227;50
409_400;60;113;50
409_507;60;188;50
409_507L;60;266;50
409_707L;60;245;50
409_107;60;102;50
409_107L;60;383;50
409_302;60;25;50
409_300;60;23;50
409_103;60;118;50
409_903;60;282;50
409_607L;60;302;50
409_800;60;30;50
420_102A;60;504;50
420_102B;60;35;50
420_202A;60;468.0;50
420_202B;60;28;50
N1_0;60;125;50
N1_1;60;60;50
N1_2;60;125;50
N2_0;60;396;50
S2.5_0;60;70;50
S1.5_0;60;250;50
W60_0;60;289;50
W60_1;60;165;50
N3.5_0;60;403;50
N4.5_0;60;307;50
S3_0;60;221;50
S4_0;60;88;50
S4_1;60;90;50
S4_2;60;87;50
N9_0;60;164;50
N9_1;60;27;50
N10_0;60;260;50
S10_0;60;165;50
S10_1;60;27;50
S9_0;60;260;50
kekku1_0;60;184;50
kekku2_0;60;198;50
TampereV.3_0;60;357;50
TampereV.3_1;60;235;50
TampereV.2_0;60;329;50
TampereV.2_1;60;593;50
Raunistulan3_1;60;471;50
Raunistulan3_0;60;211;50
Raunistulan7_1;60;306;50
Raunistulan7_0;60;208;50
S29_0;60;70;50
S30_0;60;70;50
N55_0;60;56;50
N56_0;60;56;50
N31_0;60;339;50
N31_1;60;188;50
N32_0;60;489;50
W22_0;60;539;50
E61_0;60;496;50
W1_0;60;539;50
E11_0;60;554;50
N3_0;60;107;50
N3_1;60;114;50
E1_0;60;476;50
E1_1;60;358;50
E35_0;60;617;50
W29_0;60;698;50
E31_2;60;50;50
